Vout	I1	R	I2	V1	V2	Itot	Log(Vout)	Log(Itot)	Pre-Set		Set		Return	
V	A	ohm	A	V	V	A	V	A	1.004721701	-5.072549439	3.088819614	-4.227175004	0.996596798	-2.239642653
0.512	8.65E-06	59161.34176	-8.60E-06	0.512	0	8.6248E-06	-0.290730039	-5.064250967						
0.5215	8.97E-06	58117.50546	-8.98E-06	0.5215	0	8.97535E-06	-0.282745687	-5.046948607						
0.53125	9.35E-06	56801.17184	-9.35E-06	0.53125	0	9.3511E-06	-0.274701057	-5.029137299						
0.54075	9.77E-06	55370.1068	-9.78E-06	0.54075	0	9.77465E-06	-0.267003472	-5.009898784						
0.5505	1.03E-05	53229.03472	-1.03E-05	0.5505	0	1.0313E-05	-0.259242677	-4.986617088						
0.56	1.06E-05	52695.96311	-1.06E-05	0.56	0	1.06085E-05	-0.251811973	-4.974346019						
0.5695	1.10E-05	51846.72669	-1.10E-05	0.5695	0	1.10063E-05	-0.244506272	-4.958358654						
0.57925	1.16E-05	50064.82282	-1.16E-05	0.57925	0	0.00001156	-0.237133958	-4.937042166						
0.58875	1.18E-05	49919.45057	-1.18E-05	0.58875	0	0.000011802	-0.23006908	-4.92804439						
0.5985	1.23E-05	48769.55671	-1.23E-05	0.5985	0	0.000012287	-0.222935845	-4.910554142						
0.608	1.29E-05	46957.05901	-1.29E-05	0.608	0	0.000012932	-0.216096421	-4.888334304						
0.6175	1.34E-05	46157.87113	-1.34E-05	0.6175	0	0.000013379	-0.209363038	-4.873576346						
0.62725	1.39E-05	45099.94248	-1.39E-05	0.62725	0	0.000013907	-0.20255933	-4.856766545						
0.63675	1.45E-05	43998.75622	-1.44E-05	0.63675	0	0.000014451	-0.196031046	-4.840102099						
0.6465	1.50E-05	43065.54756	-1.50E-05	0.6465	0	0.000015009	-0.189431471	-4.823648242						
0.656	1.56E-05	41970.56942	-1.57E-05	0.656	0	0.000015643	-0.183096161	-4.805679955						
0.6655	1.64E-05	40693.40834	-1.64E-05	0.6655	0	0.000016374	-0.17685194	-4.785845214						
0.67525	1.70E-05	39720.58824	-1.72E-05	0.67525	0	0.000017094	-0.170535407	-4.7671563						
0.68475	1.77E-05	38603.56297	-1.77E-05	0.68475	0	0.000017713	-0.164467959	-4.751707877						
0.6945	1.84E-05	37760.98304	-1.84E-05	0.6945	0	0.000018398	-0.15832775	-4.735229385						
0.704	1.93E-05	36450.24335	-1.93E-05	0.704	0	0.000019306	-0.152427341	-4.714307698						
0.7135	2.02E-05	35388.35433	-2.02E-05	0.7135	0	0.000020182	-0.146606023	-4.695035798						
0.72325	2.08E-05	34694.9055	-2.09E-05	0.72325	0	0.000020873	-0.140711558	-4.680415127						
0.73275	2.16E-05	33898.50111	-2.17E-05	0.73275	0	0.000021639	-0.135044173	-4.664762813						
0.7425	2.25E-05	33049.94213	-2.25E-05	0.7425	0	0.000022491	-0.129303542	-4.647991234						
0.752	2.35E-05	32035.44347	-2.34E-05	0.752	0	0.000023445	-0.123782159	-4.629949763						
0.7615	2.43E-05	31355.51346	-2.42E-05	0.7615	0	0.00002424	-0.118330092	-4.615467385						
0.77125	2.50E-05	30850	-2.51E-05	0.77125	0	0.000025068	-0.112804823	-4.600880314						
0.78075	2.62E-05	29852.03028	-2.62E-05	0.78075	0	0.0000262	-0.107488007	-4.581698709						
0.7905	2.76E-05	28653.76251	-2.76E-05	0.7905	0	0.000027601	-0.102098126	-4.559075183						
0.8	2.85E-05	28083.97107	-2.86E-05	0.8	0	0.000028558	-0.096910013	-4.544272211						
0.8095	2.98E-05	27179.02229	-2.96E-05	0.8095	0	0.000029676	-0.091783147	-4.527594638						
0.81925	3.07E-05	26696.10271	-3.05E-05	0.81925	0	0.000030618	-0.08658355	-4.514023181						
0.82875	3.17E-05	26146.83241	-3.16E-05	0.82875	0	0.000031656	-0.081576459	-4.499543963						
0.8385	3.28E-05	25535.99708	-3.27E-05	0.8385	0	0.000032749	-0.076496933	-4.484801957						
0.848	3.37E-05	25175.15734	-3.39E-05	0.848	0	0.000033774	-0.071604148	-4.471417501						
0.8575	3.51E-05	24459.46717	-3.50E-05	0.8575	0	0.000035021	-0.066765871	-4.455671457						
0.86725	3.64E-05	23853.07223	-3.62E-05	0.86725	0	0.000036273	-0.061855691	-4.440416524						
0.87675	3.75E-05	23381.247	-3.75E-05	0.87675	0	0.00003751	-0.057124225	-4.425852936						
0.8865	4.01E-05	22109.43735	-4.02E-05	0.8865	0	0.000040162	-0.05232126	-4.396184668						
0.896	4.15E-05	21598.68865	-4.16E-05	0.896	0	0.000041527	-0.04769199	-4.381669442						
0.9055	4.34E-05	20858.28803	-4.33E-05	0.9055	0	0.000043361	-0.043111545	-4.362900711						
0.91525	4.50E-05	20350.64704	-4.48E-05	0.91525	0	0.000044867	-0.038460262	-4.348072968						
0.92475	4.64E-05	19917.07947	-4.64E-05	0.92475	0	0.000046409	-0.03397566	-4.333397789						
0.9345	4.78E-05	19556.7554	-4.79E-05	0.9345	0	0.000047851	-0.029420694	-4.320108982						
0.944	4.93E-05	19144.96633	-4.89E-05	0.944	0	0.000049101	-0.025028006	-4.308909663						
0.9535	4.95E-05	19268.07582	-4.96E-05	0.9535	0	0.000049535	-0.020679303	-4.305087833						
0.96325	5.13E-05	18786.32445	-5.11E-05	0.96325	0	0.000051187	-0.016260982	-4.290840323						
0.97275	5.30E-05	18355.15888	-5.31E-05	0.97275	0	0.00005303	-0.011998761	-4.275478373						
0.9825	5.51E-05	17825.39279	-5.51E-05	0.9825	0	0.000055092	-0.007667441	-4.258911461						
0.992	5.70E-05	17391.30435	-5.69E-05	0.992	0	0.000056959	-0.003488328	-4.244437644						
1.0015	5.91E-05	16959.6288	-5.88E-05	1.0015	0	0.000058943	0.000650954	-4.229567764						
1.01125	6.11E-05	16556.69799	-6.12E-05	1.01125	0	0.000061161	0.004858535	-4.213525422						
1.02075	6.31E-05	16171.06556	-6.30E-05	1.02075	0	0.000063039	0.008919389	-4.200390685						
1.0305	6.52E-05	15806.18443	-6.52E-05	1.0305	0	0.000065217	0.013047996	-4.185639183						
1.04	6.76E-05	15391.90149	-6.71E-05	1.04	0	0.000067323	0.017033339	-4.17183654						
1.0495	6.93E-05	15145.17432	-6.94E-05	1.0495	0	0.000069344	0.020982443	-4.15899111						
1.05925	7.20E-05	14711.39691	-7.19E-05	1.05925	0	0.000071965	0.024998473	-4.14287867						
1.06875	7.42E-05	14406.74539	-7.42E-05	1.06875	0	0.00007417	0.028876128	-4.129771721						
1.0785	7.63E-05	14126.8469	-7.65E-05	1.0785	0	0.00007641	0.032820149	-4.1168498						
1.088	7.88E-05	13802.20226	-7.91E-05	1.088	0	0.000078951	0.036628895	-4.102642365						
1.0975	8.17E-05	13430.33359	-8.15E-05	1.0975	0	0.000081606	0.040404529	-4.088277909						
1.10725	8.47E-05	13072.30054	-8.44E-05	1.10725	0	0.000084562	0.044245689	-4.072824754						
1.11675	8.68E-05	12872.6053	-8.70E-05	1.11675	0	0.000086877	0.047955961	-4.061095184						
1.1265	9.01E-05	12508.32778	-9.03E-05	1.1265	0	0.000090175	0.051731196	-4.044913849						
1.136	9.23E-05	12307.959	-9.23E-05	1.136	0	0.0000923	0.055378331	-4.034798299						
1.1455	9.60E-05	11927.07357	-9.60E-05	1.1455	0	0.000096028	0.058995094	-4.017602116						
1.15525	9.86E-05	11717.48215	-9.86E-05	1.15525	0	0.000098602	0.062675977	-4.006114276						
1.16475	0.000101394	11487.36612	-0.000101552	1.16475	0	0.000101473	0.066232719	-3.9936495						
1.1745	0.00010443	11246.76817	-0.000104902	1.1745	0	0.000104666	0.069853021	-3.980194373						
1.184	0.000108206	10942.09194	-0.000108162	1.184	0	0.000108184	0.073351702	-3.965836965						
1.1935	0.000111672	10687.54925	-0.000111536	1.1935	0	0.000111604	0.076822423	-3.95232024						
1.20325	0.0048518	248.000742	-0.0048334	1.20325	0	0.0048426	0.08035587	-2.314921402						
1.21275	0.0048472	250.1959894	-0.0048352	1.21275	0	0.0048412	0.083771283	-2.315046975						
1.2225	0.0048646	251.3053488	-0.004864	1.2225	0	0.0048643	0.087248868	-2.312979648						
1.232	0.0048796	252.4797115	-0.0048722	1.232	0	0.0048759	0.090610708	-2.31194521						
1.2415	0.0048842	254.1869702	-0.0048702	1.2415	0	0.0048772	0.093946724	-2.311829435						
1.25125	0.0048748	256.677197	-0.0048628	1.25125	0	0.0048688	0.09734409	-2.312578065						
1.26075	0.0048864	258.0120334	-0.0048782	1.26075	0	0.0048823	0.100628977	-2.311375538						
1.2705	0.0048978	259.4021806	-0.0048904	1.2705	0	0.0048941	0.103974669	-2.310327161						
1.28	0.004922	260.0568874	-0.0049158	1.28	0	0.0049189	0.10720997	-2.308132006						
1.2895	0.0049432	260.8634083	-0.0049394	1.2895	0	0.0049413	0.110421346	-2.306158778						
1.29925	0.0049658	261.639615	-0.004959	1.29925	0	0.0049624	0.113692725	-2.304308232						
1.30875	0.004913	266.3851008	-0.0049182	1.30875	0	0.0049156	0.116856695	-2.308423464						
1.3185	0.0050342	261.9085455	-0.004967	1.3185	0	0.0050006	0.120080134	-2.300977883						
1.328	0.0050316	263.9319501	-0.0050286	1.328	0	0.0050301	0.123198075	-2.298423381						
1.3375	0.0050846	263.0492074	-0.0050926	1.3375	0	0.0050886	0.126293791	-2.293401686						
1.34725	0.0052068	258.7481755	-0.0052148	1.34725	0	0.0052108	0.129448192	-2.283095596						
1.35675	0.0051958	261.1243697	-0.0052062	1.35675	0	0.005201	0.13249983	-2.283913146						
1.3665	0.0052734	259.1307316	-0.0052812	1.3665	0	0.0052773	0.135609636	-2.277588217						
1.376	0.0053342	257.9580818	-0.0053378	1.376	0	0.005336	0.138618434	-2.272784179						
1.3855	0.00539	257.0500928	-0.005398	1.3855	0	0.005394	0.14160653	-2.268089058						
1.39525	0.005449	256.0561571	-0.005456	1.39525	0	0.0054525	0.144652031	-2.263404326						
1.40475	0.0055136	254.7790917	-0.005522	1.40475	0	0.0055178	0.147599041	-2.258234045						
1.4145	0.0055834	253.3402586	-0.0056006	1.4145	0	0.005592	0.150602952	-2.252432837						
1.424	0.0056426	252.3659306	-0.0056478	1.424	0	0.0056452	0.153509989	-2.248320667						
1.4335	0.0057166	250.7609418	-0.0057308	1.4335	0	0.0057237	0.156397697	-2.242323137						
1.44325	0.0058582	246.3640709	-0.0058102	1.44325	0	0.0058342	0.159341566	-2.234018687						
